rank,fragment_id,fragment_smiles,total_compounds,tp_count,tn_count,fp_count,fn_count,avg_attribution,max_attribution,activity_rate_percent,positive_appearances,total_appearances,positive_consistency_percent,min_attribution_ever,max_attribution_ever,highest_attribution_example,lowest_attribution_example,inactive_positive_attribution_example,active_negative_attribution_example,mol,pathogen,pathogen_class,fragment_type,reliability_score,importance_tier
97,36264,CC(=O)NCC1CN(C2=CC=CC=C2)C(=O)O1,11,11,0,0,0,0.1249,0.2368,100.0,8,11,72.7,0.024,0.237,HIGHEST ATTR (ACTIVE): CHEMBL6839 | SMILES: C/N=C1\C=CC(C2=CC=C(N3CC(CNC(C)=O)OC3=O)C=C2)=CC=C1O | Attribution: 0.237 | Prediction: 0.990 | MW: 367.4 | LogP: 2.05,LOWEST ATTR (ACTIVE): CHEMBL2402742 | SMILES: CC(=O)NCC1CN(C2=CC=C(C3=NC(C)=NO3)C=C2)C(=O)O1 | Attribution: 0.024 | Prediction: 0.847 | MW: 316.3 | LogP: 1.51,,,<rdkit.Chem.rdchem.Mol object at 0x000002168A811930>,SA,Gram+,substituent,1.8065271343958762,Reliable
98,37373,NCC1=CC=C2OCCOC2=C1,11,11,0,0,0,0.1244,0.198,100.0,7,11,63.6,0.058,0.198,HIGHEST ATTR (ACTIVE): CHEMBL1926762 | SMILES: COC1=CC=C2N=CC=C(NC(=O)[C@H]3CC[C@H](NCC4=CC=C5OCCOC5=C4)CC3)C2=C1 | Attribution: 0.198 | Prediction: 0.923 | MW: 447.5 | LogP: 4.30,LOWEST ATTR (ACTIVE): CHEMBL4854247 | SMILES: COC1=CC=C2N=CC(F)=C(C(O)C[C@H]3OC[C@H](NCC4=CC=C5OCCOC5=C4)CO3)C2=N1 | Attribution: 0.058 | Prediction: 0.996 | MW: 471.5 | LogP: 2.50,,,<rdkit.Chem.rdchem.Mol object at 0x000002168A8119A0>,SA,Gram+,substituent,1.5804006292651682,Reliable
99,17972,O=C1NC[C@H](CNC2=NOC=C2)O1,11,11,0,0,0,0.1194,0.2057,100.0,6,11,54.5,0.073,0.206,HIGHEST ATTR (ACTIVE): CHEMBL483249 | SMILES: N#C[C@]1(C2=CC=C(C3=CC=C(N4C[C@H](CNC5=NOC=C5)OC4=O)C=C3F)C=N2)[C@@H]2CNC[C@@H]21 | Attribution: 0.206 | Prediction: 0.997 | MW: 460.5 | LogP: 2.92,LOWEST ATTR (ACTIVE): CHEMBL2437342 | SMILES: O=CN1CCN(C2=C(F)C=C(N3C[C@H](CNC4=NOC=C4)OC3=O)C=C2F)CCN1 | Attribution: 0.073 | Prediction: 0.996 | MW: 422.4 | LogP: 1.17,,,<rdkit.Chem.rdchem.Mol object at 0x000002168A811A10>,SA,Gram+,substituent,1.3542741241344602,Moderate
100,31577,CCN1CCC(C(O)(C2=CC=CC=C2)C2=CC=CC=C2)CC1,10,10,0,0,0,0.3741,0.3808,100.0,10,10,100.0,0.361,0.381,HIGHEST ATTR (ACTIVE): CHEMBL3343201 | SMILES: OC(C1=CC=CC=C1)(C1=CC=CC=C1)C1CCN(CCC2=CC=C(C(F)(F)F)C=C2)CC1 | Attribution: 0.381 | Prediction: 0.675 | MW: 439.5 | LogP: 5.90,LOWEST ATTR (ACTIVE): CHEMBL3343208 | SMILES: OC(C1=CC=CC=C1)(C1=CC=CC=C1)C1CCN(CCC2=CC=C(C3=CC=NC=C3)C=C2)CC1 | Attribution: 0.361 | Prediction: 0.871 | MW: 448.6 | LogP: 5.94,,,<rdkit.Chem.rdchem.Mol object at 0x000002168A811A80>,SA,Gram+,substituent,2.3978952727983707,Reliable
101,43893,N#[N+],10,10,0,0,0,0.3379,0.3808,100.0,10,10,100.0,0.286,0.381,HIGHEST ATTR (ACTIVE): CHEMBL2152834 | SMILES: CC1=NN(C)C([N-]C(=O)C2=CC=C(Cl)C=C2Cl)=C1[N+]#N | Attribution: 0.381 | Prediction: 0.937 | MW: 310.1 | LogP: 4.37,LOWEST ATTR (ACTIVE): CHEMBL2152837 | SMILES: CC1=NN(C)C([N-]C(=O)NC2=CC=C([N+](=O)[O-])C=C2)=C1[N+]#N | Attribution: 0.286 | Prediction: 0.950 | MW: 301.3 | LogP: 3.36,,,<rdkit.Chem.rdchem.Mol object at 0x000002168A811AF0>,SA,Gram+,substituent,2.3978952727983707,Reliable
102,53441,C-C-C-CI,10,10,0,0,0,0.3364,0.3702,100.0,10,10,100.0,0.222,0.37,HIGHEST ATTR (ACTIVE): CHEMBL3612530 | SMILES: O=C1NC2=C(I)C=CC=C2/C1=N/NC(=S)NC1=CC=CC=C1F | Attribution: 0.370 | Prediction: 0.971 | MW: 440.2 | LogP: 3.07,LOWEST ATTR (ACTIVE): CHEMBL279071 | SMILES: BrC1=CC=C2NC=C([C@H]3NC4=C(I)C=CC=C4[C@H]4OCC[C@@H]34)C2=C1 | Attribution: 0.222 | Prediction: 0.859 | MW: 495.2 | LogP: 5.78,,,<rdkit.Chem.rdchem.Mol object at 0x000002168A811B60>,SA,Gram+,substituent,2.3978952727983707,Reliable
103,56647,NC(=O)\C=N/NC(=S)NC1=CC=C(F)C=C1,10,10,0,0,0,0.334,0.3808,100.0,10,10,100.0,0.311,0.381,HIGHEST ATTR (ACTIVE): CHEMBL228615 | SMILES: O=C1NC2=CC=C([N+](=O)[O-])C=C2/C1=N/NC(=S)NC1=CC=C(F)C=C1 | Attribution: 0.381 | Prediction: 0.971 | MW: 359.3 | LogP: 2.38,LOWEST ATTR (ACTIVE): CHEMBL3612435 | SMILES: CC1=CC=CC2=C1NC(=O)/C2=N\NC(=S)NC1=CC=C(F)C=C1 | Attribution: 0.311 | Prediction: 0.977 | MW: 328.4 | LogP: 2.78,,,<rdkit.Chem.rdchem.Mol object at 0x000002168A811BD0>,SA,Gram+,substituent,2.3978952727983707,Reliable
104,10475,CC(OC1=CC(Cl)=C(Cl)C=C1Cl)C(N)=O,10,10,0,0,0,0.313,0.3608,100.0,10,10,100.0,0.277,0.361,HIGHEST ATTR (ACTIVE): CHEMBL2281737 | SMILES: CC(OC1=CC(Cl)=C(Cl)C=C1Cl)C(=O)NN1C(=O)CSC1C1=CC=CN=C1 | Attribution: 0.361 | Prediction: 0.886 | MW: 446.7 | LogP: 4.11,LOWEST ATTR (ACTIVE): CHEMBL2281735 | SMILES: CC1=CC=C(C2SCC(=O)N2NC(=O)C(C)OC2=CC(Cl)=C(Cl)C=C2Cl)S1 | Attribution: 0.277 | Prediction: 0.944 | MW: 465.8 | LogP: 5.09,,,<rdkit.Chem.rdchem.Mol object at 0x000002168A811C40>,SA,Gram+,substituent,2.3978952727983707,Reliable
105,34843,OC-C(Br)-C(Cl)-CBr,10,10,0,0,0,0.3,0.3761,100.0,10,10,100.0,0.228,0.376,HIGHEST ATTR (ACTIVE): CHEMBL5207746 | SMILES: OC1=C(Br)C(Cl)=C(Br)C2=NC3=CC=CC=C3N=C12 | Attribution: 0.376 | Prediction: 0.968 | MW: 388.4 | LogP: 4.67,LOWEST ATTR (ACTIVE): CHEMBL5178414 | SMILES: OC1=C(Br)C(Cl)=C(Br)C2=NC3=C(OC4=CC=CC=C4)C=CC=C3N=C12 | Attribution: 0.228 | Prediction: 0.983 | MW: 480.5 | LogP: 6.46,,,<rdkit.Chem.rdchem.Mol object at 0x000002168A811CB0>,SA,Gram+,substituent,2.3978952727983707,Reliable
106,17176,O=C(O)C1=CC2=CC=CC=C2C=C1,10,10,0,0,0,0.2851,0.3746,100.0,10,10,100.0,0.141,0.375,HIGHEST ATTR (ACTIVE): CHEMBL308680 | SMILES: O=C1OC(C2=CC=C(O)C(F)=C2)(C2=CC=C(O)C(F)=C2)C2=CC3=CC=CC=C3C=C12 | Attribution: 0.375 | Prediction: 0.961 | MW: 404.4 | LogP: 4.99,LOWEST ATTR (ACTIVE): CHEMBL4546233 | SMILES: CCCCCCCC=CC1=CC(C2=CC=C3C=C(C(=O)O)C=CC3=C2)=CC=C1O | Attribution: 0.141 | Prediction: 0.906 | MW: 388.5 | LogP: 7.28,,,<rdkit.Chem.rdchem.Mol object at 0x000002168A811D20>,SA,Gram+,substituent,2.3978952727983707,Reliable
107,1716,CN1CCC(C(O)(C2=CC=CC=C2)C2=CC=CC=C2)CC1,22,10,12,0,0,0.2814,0.3785,45.45,18,22,81.8,-0.004,0.378,HIGHEST ATTR (INACTIVE): CHEMBL3344179 | SMILES: OC1=CC=C(CN2CCC(C(O)(C3=CC=CC=C3)C3=CC=CC=C3)CC2)C=C1 | Attribution: 0.378 | Prediction: 0.083 | MW: 373.5 | LogP: 4.54,LOWEST ATTR (INACTIVE): CHEMBL3344178 | SMILES: COC1=CC=CC=C1CN1CCC(C(O)(C2=CC=CC=C2)C2=CC=CC=C2)CC1 | Attribution: -0.004 | Prediction: 0.038 | MW: 387.5 | LogP: 4.84,INACTIVE w/ POS ATTR: CHEMBL3344179 | SMILES: OC1=CC=C(CN2CCC(C(O)(C3=CC=CC=C3)C3=CC=CC=C3)CC2)C=C1 | Attribution: 0.378 | Prediction: 0.083 | MW: 373.5,,<rdkit.Chem.rdchem.Mol object at 0x000002168A811D90>,SA,Gram+,substituent,2.5648342686300443,High_Impact
108,61953,C-C(Cl)-C-CO,10,10,0,0,0,0.2724,0.3488,100.0,10,10,100.0,0.198,0.349,HIGHEST ATTR (ACTIVE): CHEMBL5172558 | SMILES: OC1=CC(Cl)=CC2=NC3=CC=CC=C3N=C12 | Attribution: 0.349 | Prediction: 0.863 | MW: 230.7 | LogP: 3.14,LOWEST ATTR (ACTIVE): CHEMBL5186728 | SMILES: OC1=CC(Cl)=CC2=NC3=C(OC4=CC=CC=C4)C=CC=C3N=C12 | Attribution: 0.198 | Prediction: 0.954 | MW: 322.8 | LogP: 4.93,,,<rdkit.Chem.rdchem.Mol object at 0x000002168A811E00>,SA,Gram+,substituent,2.3978952727983707,Reliable
109,56646,NNC(=S)NC1=CC=C(F)C=C1,12,10,2,0,0,0.2605,0.3624,83.33,10,12,83.3,-0.101,0.362,HIGHEST ATTR (ACTIVE): CHEMBL1762445 | SMILES: O=C1NC2=CC=CC=C2/C1=N/NC(=S)NC1=CC=C(F)C=C1 | Attribution: 0.362 | Prediction: 0.968 | MW: 314.3 | LogP: 2.47,LOWEST ATTR (INACTIVE): CHEMBL2203949 | SMILES: COC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C(=O)C[C@@H]4C/C(=N/NC(=S)NC5=CC=C(F)C=C5)CC[C@]4(C)[C@H]3CC[C@]12C | Attribution: -0.101 | Prediction: 0.068 | MW: 569.8 | LogP: 6.90,,,<rdkit.Chem.rdchem.Mol object at 0x000002168A811E70>,SA,Gram+,substituent,2.13660281476546,Reliable
110,3777,COCCOCCO,13,10,3,0,0,0.2184,0.3808,76.92,10,13,76.9,-0.381,0.381,HIGHEST ATTR (ACTIVE): CHEMBL163655 | SMILES: COC1=CC2=C(C(=O)O)C(=C1)COCCOCCOC1=C(C)C=C(C(C)(C)CC(C)(C)C)C=C1OCCOCCOC2 | Attribution: 0.381 | Prediction: 0.964 | MW: 588.7 | LogP: 5.95,LOWEST ATTR (INACTIVE): CHEMBL574562 | SMILES: COCCOCCOC1=CC=C(C=C2C(=O)NC(=S)NC2=O)C=C1 | Attribution: -0.381 | Prediction: 0.028 | MW: 350.4 | LogP: 0.64,,,<rdkit.Chem.rdchem.Mol object at 0x000002168A811EE0>,SA,Gram+,substituent,2.029435086474134,Reliable
111,30867,OC1=CC=C(I)C=C1,10,10,0,0,0,0.2098,0.3055,100.0,9,10,90.0,-0.026,0.306,HIGHEST ATTR (ACTIVE): CHEMBL4460790 | SMILES: OC1=CC=C(C2=NC(C3=CC=C(OC4=CC=C(I)C=C4)C=C3)=NO2)C=C1 | Attribution: 0.306 | Prediction: 0.797 | MW: 456.2 | LogP: 5.51,LOWEST ATTR (ACTIVE): CHEMBL3752754 | SMILES: O=[N+]([O-])C1=CNN=C1C1=NC(C2=CC=C(OC3=CC=C(I)C=C3)C=C2)=NO1 | Attribution: -0.026 | Prediction: 0.789 | MW: 475.2 | LogP: 4.43,,ACTIVE w/ NEG ATTR: CHEMBL3752754 | SMILES: O=[N+]([O-])C1=CNN=C1C1=NC(C2=CC=C(OC3=CC=C(I)C=C3)C=C2)=NO1 | Attribution: -0.026 | Prediction: 0.789 | MW: 475.2,<rdkit.Chem.rdchem.Mol object at 0x000002168A811F50>,SA,Gram+,substituent,2.1581057455185335,Reliable
112,10169,FC1=CC=C(OC2=CC=C(C3=NOC=N3)C=C2)C=C1,19,10,9,0,0,0.2065,0.3808,52.63,13,19,68.4,-0.182,0.381,HIGHEST ATTR (ACTIVE): CHEMBL3408067 | SMILES: OC1=C(F)C=C(C2=NC(C3=CC=C(OC4=CC=C(F)C=C4)C=C3)=NO2)C=C1F | Attribution: 0.381 | Prediction: 0.965 | MW: 384.3 | LogP: 5.32,LOWEST ATTR (INACTIVE): CHEMBL3408146 | SMILES: CC(=O)N1CCC(C2=NC(C3=CC=C(OC4=CC=C(F)C=C4)C=C3)=NO2)CC1 | Attribution: -0.182 | Prediction: 0.020 | MW: 381.4 | LogP: 4.39,INACTIVE w/ POS ATTR: CHEMBL3408092 | SMILES: NS(=O)(=O)C1=CC=C(C2=NC(C3=CC=C(OC4=CC=C(F)C=C4)C=C3)=NO2)C=C1 | Attribution: 0.285 | Prediction: 0.087 | MW: 411.4,,<rdkit.Chem.rdchem.Mol object at 0x000002168A811FC0>,SA,Gram+,substituent,2.04908087511093,Reliable
113,7650,COC1=CC=CC=CC1=O,10,10,0,0,0,0.1768,0.2121,100.0,10,10,100.0,0.117,0.212,HIGHEST ATTR (ACTIVE): CHEMBL269368 | SMILES: COC1=CC=CC(C2=CC=C(N3CC(CNC(C)=O)OC3=O)C=C2)=CC1=O | Attribution: 0.212 | Prediction: 0.938 | MW: 368.4 | LogP: 2.18,LOWEST ATTR (ACTIVE): CHEMBL105128 | SMILES: COC1=CC=C(C2=CC=C(C3=NOC(CNC(C)=O)C3)C=C2)C=CC1=O | Attribution: 0.117 | Prediction: 0.876 | MW: 352.4 | LogP: 2.35,,,<rdkit.Chem.rdchem.Mol object at 0x000002168A812030>,SA,Gram+,substituent,2.3978952727983707,Reliable
114,64792,CC1=C(C2=CC=NC(N)=N2)SC(C2=CC=CC=C2)=N1,10,10,0,0,0,0.1759,0.2363,100.0,9,10,90.0,0.096,0.236,HIGHEST ATTR (ACTIVE): CHEMBL3827743 | SMILES: CC1=C(C2=CC=NC(N)=N2)SC(C2=CC=C(C3=CCC(C)C3)C=C2)=N1 | Attribution: 0.236 | Prediction: 0.956 | MW: 348.5 | LogP: 4.97,LOWEST ATTR (ACTIVE): CHEMBL3585481 | SMILES: CC1=C(C2=CC(C3=CC=CC=C3)=NC(N)=N2)SC(C2=CC=CC=C2)=N1 | Attribution: 0.096 | Prediction: 0.589 | MW: 344.4 | LogP: 4.82,,,<rdkit.Chem.rdchem.Mol object at 0x000002168A8120A0>,SA,Gram+,substituent,2.1581057455185335,Reliable
115,45964,N-C(C1=CNC2=CC=C(Br)C=C12)-C-CC(=O)NCCN,10,10,0,0,0,0.1564,0.1906,100.0,10,10,100.0,0.12,0.191,HIGHEST ATTR (ACTIVE): CHEMBL88996 | SMILES: NCCNC(=O)C1=CC(C2=CNC3=CC=C(Br)C=C23)=NC2=C(Cl)C(Cl)=CC=C12 | Attribution: 0.191 | Prediction: 0.983 | MW: 478.2 | LogP: 5.14,LOWEST ATTR (ACTIVE): CHEMBL422776 | SMILES: NCCNC(=O)C1=CC(C2=CNC3=CC=C(Br)C=C23)=NC2=CC3=C(C=C12)OCO3 | Attribution: 0.120 | Prediction: 0.951 | MW: 453.3 | LogP: 3.56,,,<rdkit.Chem.rdchem.Mol object at 0x000002168A812110>,SA,Gram+,substituent,2.3978952727983707,Reliable
116,8407,N-C(COC1=CC=C(F)C(C(N)=O)=C1F)-S,10,10,0,0,0,0.1398,0.2057,100.0,8,10,80.0,0.062,0.206,HIGHEST ATTR (ACTIVE): CHEMBL1097433 | SMILES: COC(=O)C1=CC=C2SC(COC3=CC=C(F)C(C(N)=O)=C3F)=NC2=C1 | Attribution: 0.206 | Prediction: 0.796 | MW: 378.4 | LogP: 3.04,LOWEST ATTR (ACTIVE): CHEMBL1095809 | SMILES: CC1=CC=C2N=C(COC3=CC=C(F)C(C(N)=O)=C3F)SC2=C1 | Attribution: 0.062 | Prediction: 0.716 | MW: 334.3 | LogP: 3.56,,,<rdkit.Chem.rdchem.Mol object at 0x000002168A812180>,SA,Gram+,substituent,1.9183162182386966,Reliable
117,7808,CC[C@]1(C)C=CC[C@@H]2[C@@]3(C)[C@@H](O)[C@H](O)[C@H](O)C(C)(C)[C@@H]3CC[C@]21C,13,10,3,0,0,0.1384,0.3371,76.92,10,13,76.9,-0.381,0.337,HIGHEST ATTR (ACTIVE): CHEMBL3417139 | SMILES: CC(C)OC(=O)[C@]12CC[C@@H](C)[C@H](C)[C@H]1C1=CC[C@@H]3[C@@]4(C)[C@@H](O)[C@H](O)[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2 | Attribution: 0.337 | Prediction: 0.970 | MW: 530.8 | LogP: 5.90,LOWEST ATTR (INACTIVE): CHEMBL4583009 | SMILES: CCCCCCCCCCCCCCCOC(=O)[C@@]1(C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)[C@@H](O)[C@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1 | Attribution: -0.381 | Prediction: 0.290 | MW: 699.1 | LogP: 10.73,,,<rdkit.Chem.rdchem.Mol object at 0x000002168A8121F0>,SA,Gram+,substituent,2.029435086474134,Reliable
118,7814,CC[C@H]1C(C)CC[C@H]2C(C)(C)[C@@H](O)[C@@H](O)[C@H](O)[C@]12C,13,10,3,0,0,0.1115,0.2872,76.92,10,13,76.9,-0.373,0.287,HIGHEST ATTR (ACTIVE): CHEMBL3417146 | SMILES: CC(C)OC(=O)[C@]12CCC(C)(C)C[C@H]1C1=CC[C@@H]3[C@@]4(C)[C@@H](O)[C@H](O)[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2 | Attribution: 0.287 | Prediction: 0.852 | MW: 530.8 | LogP: 6.04,LOWEST ATTR (INACTIVE): CHEMBL4515424 | SMILES: CCCCOC(=O)[C@@]1(C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)[C@@H](O)[C@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1 | Attribution: -0.373 | Prediction: 0.293 | MW: 544.8 | LogP: 6.43,,,<rdkit.Chem.rdchem.Mol object at 0x000002168A812260>,SA,Gram+,substituent,2.029435086474134,Reliable
119,1928,O=C(CO)N1CCNCCN1,10,10,0,0,0,0.1032,0.1467,100.0,4,10,40.0,0.064,0.147,HIGHEST ATTR (ACTIVE): CHEMBL2377651 | SMILES: O=C(CO)N1CCN(C2=C(F)C=C(N3C[C@H](CNC4=NOC=C4)OC3=O)C=C2F)CCN1 | Attribution: 0.147 | Prediction: 0.995 | MW: 452.4 | LogP: 0.54,LOWEST ATTR (ACTIVE): CHEMBL2377662 | SMILES: COC(=S)NC[C@H]1CN(C2=CC=C(N3CCNN(C(=O)CO)CC3)C(F)=C2)C(=O)O1 | Attribution: 0.064 | Prediction: 0.969 | MW: 441.5 | LogP: -0.18,,,<rdkit.Chem.rdchem.Mol object at 0x000002168A8122D0>,SA,Gram+,substituent,0.9591581091193483,Limited
120,48415,CCCC1=C(F)C=NC2=CC=C(OC)C=C12,10,10,0,0,0,0.1023,0.2661,100.0,5,10,50.0,0.015,0.266,HIGHEST ATTR (ACTIVE): CHEMBL5172698 | SMILES: COC1=CC=C2N=CC(F)=C(CCCN3CCN(CCSC4=CC=CS4)C[C@@H]3C(N)=O)C2=C1 | Attribution: 0.266 | Prediction: 0.703 | MW: 488.7 | LogP: 3.64,LOWEST ATTR (ACTIVE): CHEMBL5176046 | SMILES: COC1=CC=C2N=CC(F)=C(CCCN3CCN(CCCC4=CC=CC=C4)C[C@@H]3C(=O)O)C2=C1 | Attribution: 0.015 | Prediction: 0.730 | MW: 465.6 | LogP: 4.02,,,<rdkit.Chem.rdchem.Mol object at 0x000002168A812340>,SA,Gram+,substituent,1.1989476363991853,Moderate
121,28298,C-C(CO)-N,9,9,0,0,0,0.3736,0.3776,100.0,9,9,100.0,0.369,0.378,HIGHEST ATTR (ACTIVE): CHEMBL4294606 | SMILES: OCC1=CC2=C(C(C3=CNC4=CC=CC=C34)=N1)N(CC1=CC=C(Cl)C=C1)C1=CC=CC=C21 | Attribution: 0.378 | Prediction: 0.965 | MW: 437.9 | LogP: 6.53,LOWEST ATTR (ACTIVE): CHEMBL4295213 | SMILES: OCC1=CC2=C(C(C3=CNC4=CC=CC=C34)=N1)N(CC1=CC=CC=C1)C1=CC=CC=C21 | Attribution: 0.369 | Prediction: 0.953 | MW: 403.5 | LogP: 5.88,,,<rdkit.Chem.rdchem.Mol object at 0x000002168A8123B0>,SA,Gram+,substituent,2.302585092994046,Moderate
122,44450,CNCCCNC1=NC2=CC=CC=C2C(O)=C1,9,9,0,0,0,0.3686,0.3808,100.0,9,9,100.0,0.34,0.381,HIGHEST ATTR (ACTIVE): CHEMBL160841 | SMILES: OC1=CC(NCCCNCC2=CC(Cl)=CC(Cl)=C2Cl)=NC2=CC=CC=C12 | Attribution: 0.381 | Prediction: 0.972 | MW: 410.7 | LogP: 5.49,LOWEST ATTR (ACTIVE): CHEMBL160894 | SMILES: OC1=CC(NCCCNCC2=CC(I)=CC(I)=C2)=NC2=CC=CC=C12 | Attribution: 0.340 | Prediction: 0.909 | MW: 559.2 | LogP: 4.74,,,<rdkit.Chem.rdchem.Mol object at 0x000002168A812420>,SA,Gram+,substituent,2.302585092994046,Moderate
123,15602,CNC(=O)C[C@@H](N)CCCCN,9,9,0,0,0,0.3652,0.3808,100.0,9,9,100.0,0.317,0.381,HIGHEST ATTR (ACTIVE): CHEMBL88685 | SMILES: CN(C(=O)C[C@@H](N)CCCCN)C1CN=C(NC2=CC=CC=N2)NC1=O | Attribution: 0.381 | Prediction: 0.911 | MW: 361.5 | LogP: -0.35,LOWEST ATTR (ACTIVE): CHEMBL542424 | SMILES: CN(C(=O)C[C@@H](N)CCCCN)C1CN=C(NC2=NC3=CC=CC=C3S2)NC1=O | Attribution: 0.317 | Prediction: 0.929 | MW: 417.5 | LogP: 0.87,,,<rdkit.Chem.rdchem.Mol object at 0x000002168A812490>,SA,Gram+,substituent,2.302585092994046,Moderate
124,14438,CC(=O)N(C)C=O,9,9,0,0,0,0.3614,0.3808,100.0,9,9,100.0,0.336,0.381,HIGHEST ATTR (ACTIVE): CHEMBL1210012 | SMILES: COC1=CC=C([C@H]2CN(C)[C@@]3(C(=O)NC4=CC=CC=C43)[C@@]23CC(=O)N(C)C3=O)C=C1 | Attribution: 0.381 | Prediction: 0.965 | MW: 405.5 | LogP: 1.95,LOWEST ATTR (ACTIVE): CHEMBL1210010 | SMILES: CN1C(=O)C[C@@]2(C1=O)[C@@H](C1=CC=CC=C1O)CN(C)[C@@]21C(=O)NC2=CC=CC=C21 | Attribution: 0.336 | Prediction: 0.955 | MW: 391.4 | LogP: 1.64,,,<rdkit.Chem.rdchem.Mol object at 0x000002168A812500>,SA,Gram+,substituent,2.302585092994046,Moderate
125,8107,C-C(F)-C(NC)-C-N,9,9,0,0,0,0.3386,0.3652,100.0,9,9,100.0,0.304,0.365,HIGHEST ATTR (ACTIVE): CHEMBL483869 | SMILES: CNC(=O)C1=CN2C(C3=CC=C([N+](=O)[O-])C=C3)=NC3=C2C(=CC(F)=C3NC)C1=O | Attribution: 0.365 | Prediction: 0.974 | MW: 395.4 | LogP: 2.40,LOWEST ATTR (ACTIVE): CHEMBL482456 | SMILES: CNC(=O)C1=CN2C(C3=CC=CO3)=NC3=C2C(=CC(F)=C3NC)C1=O | Attribution: 0.304 | Prediction: 0.984 | MW: 340.3 | LogP: 2.09,,,<rdkit.Chem.rdchem.Mol object at 0x000002168A812570>,SA,Gram+,substituent,2.302585092994046,Moderate
126,15990,CC(C)NC(-N)-N,9,9,0,0,0,0.3247,0.3409,100.0,9,9,100.0,0.309,0.341,HIGHEST ATTR (ACTIVE): CHEMBL3262241 | SMILES: CC(C)NC1=NC(NCC2=CC=CO2)=C2C=C(Cl)C=CC2=N1 | Attribution: 0.341 | Prediction: 0.948 | MW: 316.8 | LogP: 4.31,LOWEST ATTR (ACTIVE): CHEMBL3262235 | SMILES: CC(C)NC1=NC(NC2CCCC2)=C2C=CC=CC2=N1 | Attribution: 0.309 | Prediction: 0.796 | MW: 270.4 | LogP: 3.80,,,<rdkit.Chem.rdchem.Mol object at 0x000002168A8125E0>,SA,Gram+,substituent,2.302585092994046,Moderate
127,11831,FC1=C(N2CCCOCC2)C(F)=CC=C1,9,9,0,0,0,0.3227,0.3808,100.0,8,9,88.9,-0.012,0.381,HIGHEST ATTR (ACTIVE): CHEMBL515976 | SMILES: CCC(=O)NC[C@H]1CN(C2=CC(F)=C(N3CCCOCC3)C(F)=C2)C(=O)O1 | Attribution: 0.381 | Prediction: 0.960 | MW: 383.4 | LogP: 2.04,LOWEST ATTR (ACTIVE): CHEMBL456702 | SMILES: C#CC1=CN(C[C@H]2CN(C3=CC(F)=C(N4CCCOCC4)C(F)=C3)C(=O)O2)N=N1 | Attribution: -0.012 | Prediction: 0.573 | MW: 403.4 | LogP: 1.79,,ACTIVE w/ NEG ATTR: CHEMBL456702 | SMILES: C#CC1=CN(C[C@H]2CN(C3=CC(F)=C(N4CCCOCC4)C(F)=C3)C(=O)O2)N=N1 | Attribution: -0.012 | Prediction: 0.573 | MW: 403.4,<rdkit.Chem.rdchem.Mol object at 0x000002168A812650>,SA,Gram+,substituent,2.0469981476717067,Moderate
128,43019,C#CC1=CC=CC(NC)=C1,10,9,1,0,0,0.3078,0.3808,90.0,9,10,90.0,-0.119,0.381,HIGHEST ATTR (ACTIVE): CHEMBL4541834 | SMILES: C#CC1=CC=CC(NCC2=CC([N+](=O)[O-])=CC=C2O)=C1 | Attribution: 0.381 | Prediction: 0.962 | MW: 268.3 | LogP: 2.89,LOWEST ATTR (INACTIVE): CHEMBL4585879 | SMILES: C#CC1=CC=CC(NCC2=CC([N+](=O)[O-])=CC=C2OC)=C1 | Attribution: -0.119 | Prediction: 0.413 | MW: 282.3 | LogP: 3.20,,,<rdkit.Chem.rdchem.Mol object at 0x000002168A8126C0>,SA,Gram+,substituent,2.1581057455185335,Reliable
129,12572,OC-C-C-CBr,9,9,0,0,0,0.2983,0.3747,100.0,9,9,100.0,0.155,0.375,HIGHEST ATTR (ACTIVE): CHEMBL3819654 | SMILES: OC1=CC=C2C=C1OC1=CC=C(C=C1)CCC1=C(Br)C=CC(O)=C1C1=CC(Br)=C(C=C1O)CC2 | Attribution: 0.375 | Prediction: 0.983 | MW: 582.3 | LogP: 7.67,LOWEST ATTR (ACTIVE): CHEMBL3814272 | SMILES: OC1=CC=C(Br)C2=NC3=CC(Br)=C(Br)C=C3N=C12 | Attribution: 0.155 | Prediction: 0.858 | MW: 432.9 | LogP: 4.78,,,<rdkit.Chem.rdchem.Mol object at 0x000002168A812730>,SA,Gram+,substituent,2.302585092994046,Moderate
